Date,TS1-S_370,TS2-S_376,TS3-S_21885,TS4-S_434,TS5-S_445,TS6-S_21895
5/14/2008,401.0966,1294.7833,1401.1967,2775.423,2253.0105,1204.0973
5/30/2008,392.5235,1156.7634,1391.4353,2707.5588,2279.1199,1088.3885
6/14/2008,380.63544,1023.30115,1354.4318,2586.4783,2262.8662,964.04694
6/29/2008,366.4762,879.08594,1411.3689,2591.7183,2184.12,822.16907
7/14/2008,356.0161,759.06573,1467.771,2544.581,2088.978,666.6945
7/30/2008,331.11105,628.1002,1444.014,2378.0513,1918.8052,487.2303
8/14/2008,318.09335,537.0822,1478.2552,2204.6755,1749.2383,366.20065
8/30/2008,311.68854,607.8702,1666.3274,2019.9777,1567.5049,314.9582
9/14/2008,321.1087,880.1335,2000.3267,1911.9991,1414.8191,647.6698
9/29/2008,337.6349,1308.9004,2365.27,1826.9097,1265.2065,1932.667
10/14/2008,359.99225,1605.2615,2554.507,1747.3887,1140.769,2638.918
10/30/2008,378.73605,1709.4199,2555.8335,1735.7985,843.91534,2788.223
11/14/2008,397.3481,1799.8984,2478.811,1703.827,718.15393,2727.9844
11/29/2008,391.2712,1738.9614,2432.3594,1743.8448,668.4545,2676.4731
12/14/2008,385.41876,1699.0406,2372.9087,1962.4475,708.674,2502.527
12/30/2008,379.32965,1613.8774,2238.8167,2192.5142,785.3886,2438.2446
1/14/2009,369.5217,1523.8405,2039.4648,2329.1433,805.3213,2214.0403
1/30/2009,363.73224,1450.6603,1948.502,2347.346,788.2903,1875.7104
2/14/2009,368.32645,1447.3175,1875.4652,2404.7627,767.3886,1712.9851
2/27/2009,376.1057,1455.1256,1795.7318,2450.0305,737.2741,1505.4421
3/14/2009,391.43234,1485.9109,1662.7598,2522.3809,736.66693,1260.2932
3/30/2009,418.88654,1564.7029,1568.3062,2504.4712,678.00275,1059.7584
4/14/2009,425.58255,1547.4474,1489.1213,2399.606,644.90546,859.87946
4/29/2009,427.97195,1489.7488,1407.0779,2300.5977,916.4214,850.52325
5/14/2009,419.77054,1398.8378,1372.2156,2208.8875,1085.6511,964.6588
5/30/2009,416.54944,1238.3793,1364.1067,2185.5579,1393.7932,827.3441
6/14/2009,413.1305,1112.2206,1481.5454,2109.7847,1615.088,839.5248
6/29/2009,407.5507,978.86456,1508.7708,2042.9713,1695.5558,694.1787
7/14/2009,395.2675,813.05096,1443.651,1930.0237,1725.8574,535.03735
7/30/2009,381.11206,632.35095,1397.2665,1787.178,1707.9478,472.33746
8/14/2009,372.7923,525.3481,1467.4568,1656.1401,1640.5134,677.4383
8/30/2009,362.88724,565.0604,1560.079,1499.137,1490.3372,961.2909
9/14/2009,363.139,757.7704,1643.6859,1381.825,1324.6401,1323.3855
9/29/2009,360.66174,1031.2142,1794.6362,1295.5433,1153.0255,1769.9794
10/14/2009,352.83014,1195.0724,1874.3007,1224.252,994.3685,2026.9557
10/30/2009,335.16724,1232.991,1844.4081,1150.9757,719.0892,2064.1194
11/14/2009,320.8395,1216.8987,1789.7029,1099.4036,609.1386,1874.3296
11/29/2009,318.36664,1246.0155,1722.2649,1085.157,537.2741,1743.1327
12/14/2009,306.4354,1199.6802,1606.4105,1126.7919,524.3169,1563.5956
12/30/2009,312.2309,1178.6842,1513.8317,1692.4478,746.9122,1380.445
1/14/2010,311.42365,1234.5356,1499.8696,2347.6765,1324.0605,1287.4042
1/30/2010,322.31766,1369.4497,1516.8589,2787.9844,1888.8783,1473.7075
2/14/2010,363.10876,1580.2177,1501.335,2985.048,2085.5457,1583.6404
2/27/2010,398.5388,1697.7378,1478.4187,3030.355,2132.442,1658.2214
3/14/2010,422.77466,1739.7891,1531.0353,3050.7185,2339.5884,1802.6539
3/30/2010,434.3549,1756.9928,1659.5907,3020.8154,2401.7725,1952.1904
4/14/2010,453.2295,1785.0295,1890.9095,3046.0327,2616.0776,2083.341
4/29/2010,456.91724,1769.5466,1958.8004,3038.6016,2785.085,2017.16
5/14/2010,449.07776,1692.9353,1929.5481,3033.305,2710.6182,1894.1436
5/30/2010,444.85986,1590.0151,2023.5557,3029.3176,2749.6846,1695.3977
6/14/2010,442.19864,1438.1244,2091.402,2957.9321,2726.9695,1499.2032
6/29/2010,427.79025,1201.5359,2060.7202,2868.5327,2621.6982,1344.7802
7/14/2010,411.4545,1065.1975,2003.3851,2792.2205,2503.2297,1175.9993
7/30/2010,387.77145,844.45844,1934.9615,2682.7493,2358.6836,1019.6698
8/14/2010,386.7866,772.62134,2183.954,2566.7205,2266.1968,982.2745
8/30/2010,396.6823,933.1249,2348.451,2424.6672,2106.147,1070.7136
9/14/2010,407.4903,1312.5327,2540.4001,2276.9343,1895.2671,1354.6294
9/29/2010,438.14096,1725.336,2754.5642,2146.4148,1720.8389,1625.7628
10/14/2010,495.94354,2001.6089,2894.504,2035.8665,1562.0063,1856.2
10/30/2010,515.3483,2087.657,2933.4043,1949.3602,1127.9532,1822.9987
11/14/2010,510.844,2048.65,2939.3206,1892.6932,937.9213,1922.4292
11/29/2010,496.7691,1962.2565,2837.1772,1963.7567,785.32227,1801.6156
12/14/2010,482.42926,1874.5804,2655.191,2238.168,681.0531,1624.774
12/30/2010,463.8233,1745.5349,2491.272,2507.1633,681.6574,1442.6625
1/14/2011,449.81195,1661.1748,2342.0486,2584.1008,719.046,1371.7357
1/30/2011,433.52365,1533.7887,2223.3103,2601.1907,763.8308,1198.3081
